"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N3JVBVNT","book","1917","Doty, Madeleine Z.","Short rations, experiences of an American woman in Germany","","","","","","","1917","2025-03-21 18:54:53","2025-03-28 18:29:01","","","274","","","","","","","","","","A. L. Burt Co","New York","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/378117","interlibrary","Personal narratives; Women's work; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PM8VNIJF","book","2014","Dedio, Gunnar; Dedio, Florian","The Great War diaries: accompanies the astonishing BBC TV series","","978-1-84990-674-6","","","","","2014","2025-03-24 18:24:42","2025-03-28 18:29:11","","","319","","","","","The Great War diaries","","","","","BBC Books","London","","","","","","Library Catalog (Blacklight)","940.30222","OCLC: 872730723","","","https://catalog.libraries.psu.edu/catalog/14122103","interlibrary","1914 - 1918; Anecdotes; Campaigns; Documentary-style television programs; Military campaigns; Personal narratives; Pictorial works; World War (1914-1918); World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y59NZ3E6","book","1997","Gavin, Lettie","American women in World War I: they also served","","978-0-87081-432-7","","","","","1997","2025-03-24 18:25:32","2025-03-28 18:28:19","","","295","","","","","American women in World War I","","","","","Univesity Press of Colorado","Niwot, Colo","","","","","","Library Catalog (Blacklight)","D639.W7 G38 1997","","","","https://catalog.libraries.psu.edu/catalog/1905915","interlibrary","20th century; History; United States; Women; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HKA3ZET","book","1980","Bloch, Marc","Memoirs of war, 1914-15","","978-0-8014-1220-2","","","","","1980","2025-03-24 18:26:09","2025-03-28 18:28:52","","","177","","","","","","","","","","Cornell University Press","Ithaca, N.Y","","","","","","Library Catalog (Blacklight)","D640 .B581713","","","","https://catalog.libraries.psu.edu/catalog/857825","interlibrary","Bloch, Marc; Personal narratives, French; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AVNZ4QC","book","2019","Blom, Rick","Hunger: how food shaped the course of the First World War","","978-1-77112-417-1 978-1-912690-19-0","","","","""It's about how food -- its production, distribution, preparation, and supply -- affected the course of the First World War. It's also about the author's attempt to recreate the experience of taking part in combat conditions, as he prepares food in a recreated field kitchen and spends three days in a trench. The book contains many recipes taken from contemporary documents.""--","2019","2025-03-24 18:26:42","2025-03-28 18:28:42","","","236","","","","","Hunger","","","","","Wilfrid Laurier University Press ; Uniform","Waterloo, ON, Canada : London","eng","","","","","Library Catalog (Blacklight)","D639.S9 B5613 2019","OCLC: 1049911544","","","https://catalog.libraries.psu.edu/catalog/29247643","interlibrary","1900-1999; 20th century; Europe; Food supply; History; Operational rations (Military supplies); Rationing; World War (1914-1918); World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MVMG9V3","book","1985","Piper, John F.","The American churches in World War I","","978-0-8214-0801-8","","","","","1985","2025-03-24 18:27:03","2025-03-28 18:29:04","","","230","","","","","","","","","","Ohio University Press","Athens, Ohio","","","","","","Library Catalog (Blacklight)","D639.R4 P57 1985","","","","https://catalog.libraries.psu.edu/catalog/1246839","interlibrary","Religious aspects; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEQEUHLJ","book","1969","Horn, Daniel","The German naval mutinies of World War I","","978-0-8135-0598-5","","","","","1969","2025-03-24 18:27:25","2025-03-28 18:29:07","","","346","","","","","","","","","","Rutgers University Press","New Brunswick, N.J","","","","","","Library Catalog (Blacklight)","D639.M82 G45","","","","https://catalog.libraries.psu.edu/catalog/854279","interlibrary","Germany; Kriegsmarine; Mutiny; Naval operations, German; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GF85CEEG","book","2006","Hanson, Neil; Hanson, Neil","Unknown soldiers: the story of the missing of the First World War","","978-0-307-26370-4","","","","","2006","2025-03-24 18:27:45","2025-03-28 18:29:14","","","474","","","","","Unknown soldiers","","","","","Knopf","New York","","","","","","Library Catalog (Blacklight)","D639.M56 H36 2006","","","","https://catalog.libraries.psu.edu/catalog/3203544","interlibrary","Biography; Hub, Paul; Missing in action; Reader, Alec; Siebold, George; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","1st American ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25Z3ZHNJ","book","2015","Johnson, David","Executed at dawn: British firing squads on the Western Front, 1914-1918","","978-0-7509-5917-9","","","","","2015","2025-03-24 18:28:00","2025-03-28 18:28:35","","","208","","","","","Executed at dawn","","","","","Spellmount","Stroud, Gloucestershire","","","","","","Library Catalog (Blacklight)","D639.E94 J64 2015","OCLC: 921846880","","","https://catalog.libraries.psu.edu/catalog/15986056","interlibrary","1900 - 1999; 20th century; Executions and executioners; Firing squads (Execution); Great Britain; History; World War (1914-1918); World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YN4IKBFV","book","1921","","Penn State in the world war","","","","","","","1921","2025-03-24 18:28:30","2025-03-28 18:28:56","","","526","","","","","","","","","","The Alumni Association of the Pennsylvania State College","State College, PA","","","","","","Library Catalog (Blacklight)","D639.E4 P4","OCLC: 3758215","","","https://catalog.libraries.psu.edu/catalog/2706648","interlibrary","Pennsylvania State College; Registers; World War, 1914-1918","Pennsylvania State College; Sullivan, Edward Nixon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZ4RKYMH","book","2016","Dooley, John; Manly, John Matthews","Codes, ciphers and spies: tales of military intelligence in World War I","","978-3-319-29414-8","","","","","2016","2025-03-24 19:15:14","2025-03-28 18:28:25","","","280","","","","","Codes, ciphers and spies","","","","","Copernicus Books, an imprint of Springer Nature","New York, N.Y","","","","","","Library Catalog (Blacklight)","D639.C75 D66 2016","OCLC: 933719144","","","https://catalog.libraries.psu.edu/catalog/18910089","interlibrary","1900-1999; 20th century; Cryptography; History; Manly, John Matthews; Military intelligence; United States; World War (1914-1918); World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DTEIRQQ","book","1963","Bailey, Thomas Andrew","Woodrow Wilson and the lost peace","","","","","","","1963","2025-03-24 19:16:31","2025-03-28 18:29:18","","","381","","","","","","Encounter paperbacks","EP1","","","Quadrangle Books","Chicago","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/4850","interlibrary","Paris Peace Conference; Treaty of Versailles; United States; Wilson, Woodrow; World War, 1914-1918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
